article,chunk_name,png_path,code,functions,function_labels
122-a-circular-plot-with-the-circlize-package,thecode-1,images/122-a-circular-plot-with-the-circlize-package/thecode-1.png,"### You need several libraries
library(circlize)
library(migest)
library(dplyr)
 
### Make data
m <- data.frame(order = 1:6,
            country = c(""Ausralia"", ""India"", ""China"", ""Japan"", ""Thailand"", ""Malaysia""),
            V3 = c(1, 150000, 90000, 180000, 15000, 10000),
            V4 = c(35000, 1, 10000, 12000, 25000, 8000),
            V5 = c(10000, 7000, 1, 40000, 5000, 4000),
            V6 = c(7000, 8000, 175000, 1, 11000, 18000),
            V7 = c(70000, 30000, 22000, 120000, 1, 40000),
            V8 = c(60000, 90000, 110000, 14000, 30000, 1),
            r = c(255,255,255,153,51,51),
            g = c(51, 153, 255, 255, 255, 255),
            b = c(51, 51, 51, 51, 51, 153),
            stringsAsFactors = FALSE)
df1 <- m[, c(1,2, 9:11)]
m <- m[,-(1:2)]/1e04
m <- as.matrix(m[,c(1:6)])
dimnames(m) <- list(orig = df1$country, dest = df1$country)
#Sort order of data.frame and matrix for plotting in circos
df1 <- arrange(df1, order)
df1$country <- factor(df1$country, levels = df1$country)
m <- m[levels(df1$country),levels(df1$country)]
 
 
### Define ranges of circos sectors and their colors (both of the sectors and the links)
df1$xmin <- 0
df1$xmax <- rowSums(m) + colSums(m)
n <- nrow(df1)
df1$rcol<-rgb(df1$r, df1$g, df1$b, max = 255)
df1$lcol<-rgb(df1$r, df1$g, df1$b, alpha=200, max = 255)
 
### Plot sectors (outer part)
par(mar=rep(0,4))
circos.clear()
 
### Basic circos graphic parameters
circos.par(cell.padding=c(0,0,0,0), track.margin=c(0,0.15), start.degree = 90, gap.degree =4)
 
### Sector details
circos.initialize(factors = df1$country, xlim = cbind(df1$xmin, df1$xmax))
 
### Plot sectors
circos.trackPlotRegion(ylim = c(0, 1), factors = df1$country, track.height=0.1,
                      #panel.fun for each sector
                      panel.fun = function(x, y) {
                      #select details of current sector
                      name = get.cell.meta.data(""sector.index"")
                      i = get.cell.meta.data(""sector.numeric.index"")
                      xlim = get.cell.meta.data(""xlim"")
                      ylim = get.cell.meta.data(""ylim"")
 
                      #text direction (dd) and adjusmtents (aa)
                      theta = circlize(mean(xlim), 1.3)[1, 1] %% 360
                      dd <- ifelse(theta < 90 || theta > 270, ""clockwise"", ""reverse.clockwise"")
                      aa = c(1, 0.5)
                      if(theta < 90 || theta > 270)  aa = c(0, 0.5)
 
                      #plot country labels
                      circos.text(x=mean(xlim), y=1.7, labels=name, facing = dd, cex=0.6,  adj = aa)
 
                      #plot main sector
                      circos.rect(xleft=xlim[1], ybottom=ylim[1], xright=xlim[2], ytop=ylim[2], 
                                  col = df1$rcol[i], border=df1$rcol[i])
 
                      #blank in part of main sector
                      circos.rect(xleft=xlim[1], ybottom=ylim[1], xright=xlim[2]-rowSums(m)[i], ytop=ylim[1]+0.3, 
                                  col = ""white"", border = ""white"")
 
                      #white line all the way around
                      circos.rect(xleft=xlim[1], ybottom=0.3, xright=xlim[2], ytop=0.32, col = ""white"", border = ""white"")
 
                      #plot axis
                      circos.axis(labels.cex=0.6, direction = ""outside"", major.at=seq(from=0,to=floor(df1$xmax)[i],by=5), 
                                  minor.ticks=1, labels.away.percentage = 0.15)
                    })
 
### Plot links (inner part)
### Add sum values to df1, marking the x-position of the first links
### out (sum1) and in (sum2). Updated for further links in loop below.
df1$sum1 <- colSums(m)
df1$sum2 <- numeric(n)
 
### Create a data.frame of the flow matrix sorted by flow size, to allow largest flow plotted first
df2 <- cbind(as.data.frame(m),orig=rownames(m),  stringsAsFactors=FALSE)
df2 <- reshape(df2, idvar=""orig"", varying=list(1:n), direction=""long"",
           timevar=""dest"", time=rownames(m),  v.names = ""m"")
df2 <- arrange(df2,desc(m))
 
### Keep only the largest flows to avoid clutter
df2 <- subset(df2, m > quantile(m,0.6))
 
### Plot links
for(k in 1:nrow(df2)){
    #i,j reference of flow matrix
    i<-match(df2$orig[k],df1$country)
    j<-match(df2$dest[k],df1$country)
 
#plot link
circos.link(sector.index1=df1$country[i], point1=c(df1$sum1[i], df1$sum1[i] + abs(m[i, j])),
            sector.index2=df1$country[j], point2=c(df1$sum2[j], df1$sum2[j] + abs(m[i, j])),
            col = df1$lcol[i])
 
#update sum1 and sum2 for use when plotting the next link
df1$sum1[i] = df1$sum1[i] + abs(m[i, j])
df1$sum2[j] = df1$sum2[j] + abs(m[i, j])
}","library,<-,data.frame,:,c,[,/,-,(,as.matrix,dimnames,list,$,arrange,factor,levels,+,rowSums,colSums,nrow,rgb,par,rep,circos.clear,circos.par,circos.initialize,cbind,circos.trackPlotRegion,function,{,=,get.cell.meta.data,%%,circlize,mean,ifelse,||,<,>,if,circos.text,circos.rect,circos.axis,seq,floor,numeric,as.data.frame,rownames,reshape,desc,subset,quantile,for,match,circos.link,abs",
123-circular-plot-circlize-package-2,thecode-1,images/123-circular-plot-circlize-package-2/thecode-1.png,"# Create an adjacency matrix: 
# a list of connections between 20 origin nodes, and 5 destination nodes:
numbers <- sample(c(1:1000), 100, replace = T)
data <- matrix( numbers, ncol=5)
rownames(data) <- paste0(""orig-"", seq(1,20))
colnames(data) <- paste0(""dest-"", seq(1,5))

# Load the circlize library
library(circlize)
 
# Make the circular plot
chordDiagram(data, transparency = 0.5)","<-,sample,c,:,matrix,rownames,paste0,seq,colnames,library,chordDiagram",
123-circular-plot-circlize-package-2,thecode2-1,images/123-circular-plot-circlize-package-2/thecode2-1.png,"# Create an edge list: a list of connections between 10 origin nodes, and 10 destination nodes:
origin <- paste0(""orig "", sample(c(1:10), 20, replace = T))
destination <- paste0(""dest "", sample(c(1:10), 20, replace = T))
data <- data.frame(origin, destination)

# Transform input data in a adjacency matrix
adjacencyData <- with(data, table(origin, destination))
 
# Charge the circlize library
library(circlize)
 
# Make the circular plot
chordDiagram(adjacencyData, transparency = 0.5)","<-,paste0,sample,c,:,data.frame,with,table,library,chordDiagram",
127-r-snail,thecode-1,images/127-r-snail/thecode-1.png,"par(mfrow=c(1,1),mar=c(0,0,0,0),oma=c(1,1,1,1))
plot(0,0,type=""n"", xlim=c(-2,32), ylim=c(3,27),
    xaxs=""i"", yaxs=""i"", axes=FALSE, xlab=NA, ylab=NA,
    asp=1)

for (j in 0:35) {
for (i in 0:35) {


    R <- 8
    alpha <- j*10
    X <- 15+R*cos(alpha/180*pi)
    Y <- 15+R*sin(alpha/180*pi)

    r <- 3
    beta <- i*10
    x <- 15+r*cos(beta/180*pi)
    y <- 15+r*sin(beta/180*pi)

    d1 <- sqrt((X-x)^2+(Y-y)^2)
    xc <- x
    yc <- y

  n <- 180-atan((Y-y)/(X-x))/pi*180

    alpha2 <- -(0:n)
    theta <- alpha2/180*pi

    b <- d1/(n/180*pi)
    r <- b*theta

    x1 <- xc+r*cos(theta)
    y1 <- yc+r*sin(theta)

    lines(x1,y1, col=""black"")

    }
}","par,c,plot,-,for,:,{,<-,*,+,cos,/,sin,sqrt,^,(,atan,lines",lines
128-ring-or-donut-plot,thecode-1,images/128-ring-or-donut-plot/thecode-1.png,"# load library
library(ggplot2)
 
# Create test data.
data <- data.frame(
  category=c(""A"", ""B"", ""C""),
  count=c(10, 60, 30)
)
 
# Compute percentages
data$fraction = data$count / sum(data$count)

# Compute the cumulative percentages (top of each rectangle)
data$ymax = cumsum(data$fraction)

# Compute the bottom of each rectangle
data$ymin = c(0, head(data$ymax, n=-1))
 
# Make the plot
ggplot(data, aes(ymax=ymax, ymin=ymin, xmax=4, xmin=3, fill=category)) +
     geom_rect() +
     coord_polar(theta=""y"") + # Try to remove that to understand how the chart is built initially
     xlim(c(2, 4)) # Try to remove that to see how to make a pie chart","library,<-,data.frame,c,=,$,/,sum,cumsum,head,-,+,ggplot,aes,geom_rect,coord_polar,xlim","geom_rect,coord_polar"
128-ring-or-donut-plot,thecode3-1,images/128-ring-or-donut-plot/thecode3-1.png,"# load library
library(ggplot2)

# Create test data.
data <- data.frame(
  category=c(""A"", ""B"", ""C""),
  count=c(10, 60, 30)
)
 
# Compute percentages
data$fraction <- data$count / sum(data$count)

# Compute the cumulative percentages (top of each rectangle)
data$ymax <- cumsum(data$fraction)

# Compute the bottom of each rectangle
data$ymin <- c(0, head(data$ymax, n=-1))

# Compute label position
data$labelPosition <- (data$ymax + data$ymin) / 2

# Compute a good label
data$label <- paste0(data$category, ""\n value: "", data$count)

# Make the plot
ggplot(data, aes(ymax=ymax, ymin=ymin, xmax=4, xmin=3, fill=category)) +
  geom_rect() +
  geom_label( x=3.5, aes(y=labelPosition, label=label), size=6) +
  scale_fill_brewer(palette=4) +
  coord_polar(theta=""y"") +
  xlim(c(2, 4)) +
  theme_void() +
  theme(legend.position = ""none"")","library,<-,data.frame,c,$,/,sum,cumsum,head,-,(,+,paste0,ggplot,aes,geom_rect,geom_label,scale_fill_brewer,coord_polar,xlim,theme_void,theme","geom_rect,geom_label,coord_polar"
128-ring-or-donut-plot,thecode2-1,images/128-ring-or-donut-plot/thecode2-1.png,"# load library
library(ggplot2)

# Create test data.
data <- data.frame(
  category=c(""A"", ""B"", ""C""),
  count=c(10, 60, 30)
)
 
# Compute percentages
data$fraction <- data$count / sum(data$count)

# Compute the cumulative percentages (top of each rectangle)
data$ymax <- cumsum(data$fraction)

# Compute the bottom of each rectangle
data$ymin <- c(0, head(data$ymax, n=-1))

# Compute label position
data$labelPosition <- (data$ymax + data$ymin) / 2

# Compute a good label
data$label <- paste0(data$category, ""\n value: "", data$count)

# Make the plot
ggplot(data, aes(ymax=ymax, ymin=ymin, xmax=4, xmin=3, fill=category)) +
  geom_rect() +
  geom_text( x=2, aes(y=labelPosition, label=label, color=category), size=6) + # x here controls label position (inner / outer)
  scale_fill_brewer(palette=3) +
  scale_color_brewer(palette=3) +
  coord_polar(theta=""y"") +
  xlim(c(-1, 4)) +
  theme_void() +
  theme(legend.position = ""none"")","library,<-,data.frame,c,$,/,sum,cumsum,head,-,(,+,paste0,ggplot,aes,geom_rect,geom_text,scale_fill_brewer,scale_color_brewer,coord_polar,xlim,theme_void,theme","geom_rect,geom_text,coord_polar"
13-scatter-plot,thecode-1,images/13-scatter-plot/thecode-1.png,"# Create data
data = data.frame(
  x=seq(1:100) + 0.1*seq(1:100)*sample(c(1:10) , 100 , replace=T),
  y=seq(1:100) + 0.2*seq(1:100)*sample(c(1:10) , 100 , replace=T)
)

# Basic scatterplot
plot(x=data$x, y=data$y)","=,data.frame,+,seq,:,*,sample,c,plot,$",
13-scatter-plot,thecode2-1,images/13-scatter-plot/thecode2-1.png,"# Create data
data = data.frame(
  x=seq(1:100) + 0.1*seq(1:100)*sample(c(1:10) , 100 , replace=T),
  y=seq(1:100) + 0.2*seq(1:100)*sample(c(1:10) , 100 , replace=T)
)

# Basic scatterplot
plot(data$x, data$y,
     xlim=c(0,250) , ylim=c(0,250), 
     pch=18, 
     cex=2, 
     col=""#69b3a2"",
     xlab=""value of X"", ylab=""value of Y"",
     main=""A simple scatterplot""
     )","=,data.frame,+,seq,:,*,sample,c,plot,$",
13-scatter-plot,thecode3-1,images/13-scatter-plot/thecode3-1.png,"# the iris dataset is provided by R natively

# Create a color palette
library(paletteer)
colors <- paletteer_c(package = ""ggthemes"", palette = ""Green-Blue-White"", n = 3)

# Scatterplot with categoric color scale
plot(
  x = iris$Petal.Length, 
  y = iris$Petal.Width,
  bg = colors[ unclass(iris$Species) ],
  cex = 3,
  pch=21
)
     
    ","library,<-,paletteer_c,plot,$,[,unclass",
13-scatter-plot,thecode4-1,images/13-scatter-plot/thecode4-1.png,"# the iris dataset is provided by R natively

# Create a color palette
library(paletteer)
nColor <- 20
colors <- paletteer_c(package = ""viridis"", palette = ""inferno"", n = nColor)

# Transform the numeric variable in bins
rank <- as.factor( as.numeric( cut(iris$Petal.Width, nColor)))

# Scatterplot with color gradient
plot(
  x = iris$Petal.Length, 
  y = iris$Petal.Width,
  bg = colors[ rank ],
  cex = 3,
  pch=21
)
     
    ","library,<-,paletteer_c,as.factor,as.numeric,cut,$,plot,[",
130-ring-or-donut-chart,thecode-1,images/130-ring-or-donut-chart/thecode-1.png,"# The doughnut function permits to draw a donut plot
doughnut <-
function (x, labels = names(x), edges = 200, outer.radius = 0.8,
          inner.radius=0.6, clockwise = FALSE,
          init.angle = if (clockwise) 90 else 0, density = NULL,
          angle = 45, col = NULL, border = FALSE, lty = NULL,
          main = NULL, ...)
{
    if (!is.numeric(x) || any(is.na(x) | x < 0))
        stop(""'x' values must be positive."")
    if (is.null(labels))
        labels <- as.character(seq_along(x))
    else labels <- as.graphicsAnnot(labels)
    x <- c(0, cumsum(x)/sum(x))
    dx <- diff(x)
    nx <- length(dx)
    plot.new()
    pin <- par(""pin"")
    xlim <- ylim <- c(-1, 1)
    if (pin[1L] > pin[2L])
        xlim <- (pin[1L]/pin[2L]) * xlim
    else ylim <- (pin[2L]/pin[1L]) * ylim
    plot.window(xlim, ylim, """", asp = 1)
    if (is.null(col))
        col <- if (is.null(density))
          palette()
        else par(""fg"")
    col <- rep(col, length.out = nx)
    border <- rep(border, length.out = nx)
    lty <- rep(lty, length.out = nx)
    angle <- rep(angle, length.out = nx)
    density <- rep(density, length.out = nx)
    twopi <- if (clockwise)
        -2 * pi
    else 2 * pi
    t2xy <- function(t, radius) {
        t2p <- twopi * t + init.angle * pi/180
        list(x = radius * cos(t2p),
             y = radius * sin(t2p))
    }
    for (i in 1L:nx) {
        n <- max(2, floor(edges * dx[i]))
        P <- t2xy(seq.int(x[i], x[i + 1], length.out = n),
                  outer.radius)
        polygon(c(P$x, 0), c(P$y, 0), density = density[i],
                angle = angle[i], border = border[i],
                col = col[i], lty = lty[i])
        Pout <- t2xy(mean(x[i + 0:1]), outer.radius)
        lab <- as.character(labels[i])
        if (!is.na(lab) && nzchar(lab)) {
            lines(c(1, 1.05) * Pout$x, c(1, 1.05) * Pout$y)
            text(1.1 * Pout$x, 1.1 * Pout$y, labels[i],
                 xpd = TRUE, adj = ifelse(Pout$x < 0, 1, 0),
                 ...)
        }
        ## Add white disc          
        Pin <- t2xy(seq.int(0, 1, length.out = n*nx),
                  inner.radius)
        polygon(Pin$x, Pin$y, density = density[i],
                angle = angle[i], border = border[i],
                col = ""white"", lty = lty[i])
    }

    title(main = main, ...)
    invisible(NULL)
}


# Let's use the function, it works like PiePlot !
# inner.radius controls the width of the ring!
doughnut( c(3,5,9,12) , inner.radius=0.5, col=c(rgb(0.2,0.2,0.4,0.5), rgb(0.8,0.2,0.4,0.5), rgb(0.2,0.9,0.4,0.4) , rgb(0.0,0.9,0.8,0.4)) )
","<-,function,names,if,{,||,!,is.numeric,any,|,is.na,<,stop,is.null,as.character,seq_along,as.graphicsAnnot,c,/,cumsum,sum,diff,length,plot.new,par,-,>,[,*,(,plot.window,palette,rep,+,list,cos,sin,for,:,max,floor,t2xy,seq.int,polygon,$,mean,&&,nzchar,lines,text,ifelse,title,invisible,doughnut,rgb","polygon,lines,text,doughnut"
131-pie-plot-with-r,thecode-1,images/131-pie-plot-with-r/thecode-1.png,"# Create Data
Prop <- c(3,7,9,1,2)
 
# Make the default Pie Plot
pie(Prop)","<-,c,pie",pie
131-pie-plot-with-r,thecode2-1,images/131-pie-plot-with-r/thecode2-1.png,"# You can also custom the labels:
pie(Prop , labels = c(""Gr-A"",""Gr-B"",""Gr-C"",""Gr-D"",""Gr-E""))","pie,c",pie
131-pie-plot-with-r,thecode3-1,images/131-pie-plot-with-r/thecode3-1.png,"# If you give a low value to the ""edge"" argument, you go from something circular to a shape with edges
pie(Prop , labels = c(""Gr-A"",""Gr-B"",""Gr-C"",""Gr-D"",""Gr-E"") , edges=10)","pie,c",pie
131-pie-plot-with-r,thecode4-1,images/131-pie-plot-with-r/thecode4-1.png,"# The density arguments adds stripes. You can control the angle of this lines with ""angle""
pie(Prop , labels = c(""Gr-A"",""Gr-B"",""Gr-C"",""Gr-D"",""Gr-E"") , density=10 , angle=c(20,90,30,10,0))
","pie,c",pie
131-pie-plot-with-r,thecode5-1,images/131-pie-plot-with-r/thecode5-1.png,"# Prepare a color palette. Here with R color brewer:
library(RColorBrewer)
myPalette <- brewer.pal(5, ""Set2"") 

# You can change the border of each area with the classical parameters:
pie(Prop , labels = c(""Gr-A"",""Gr-B"",""Gr-C"",""Gr-D"",""Gr-E""), border=""white"", col=myPalette )","library,<-,brewer.pal,pie,c",pie
135-stacked-density-graph,unnamed-chunk-2-1,images/135-stacked-density-graph/unnamed-chunk-2-1.png,"p1
p2",,
135-stacked-density-graph,unnamed-chunk-3-1,images/135-stacked-density-graph/unnamed-chunk-3-1.png,"# Load dataset from github
data <- read.table(""https://raw.githubusercontent.com/zonination/perceptions/master/probly.csv"", header=TRUE, sep="","")
data <- data %>%
  gather(key=""text"", value=""value"") %>%
  mutate(text = gsub(""\\."", "" "",text)) %>%
  mutate(value = round(as.numeric(value),0))

# A dataframe for annotations
annot <- data.frame(
  text = c(""Almost No Chance"", ""About Even"", ""Probable"", ""Almost Certainly""),
  x = c(5, 53, 65, 79),
  y = c(0.15, 0.4, 0.06, 0.1)
)

# Plot
data %>%
  filter(text %in% c(""Almost No Chance"", ""About Even"", ""Probable"", ""Almost Certainly"")) %>%
  ggplot( aes(x=value, color=text, fill=text)) +
    geom_density(alpha=0.6) +
    scale_fill_viridis(discrete=TRUE) +
    scale_color_viridis(discrete=TRUE) +
    geom_text( data=annot, aes(x=x, y=y, label=text, color=text), hjust=0, size=4.5) +
    theme_ipsum() +
    theme(
      legend.position=""none""
    ) +
    ylab("""") +
    xlab(""Assigned Probability (%)"")","<-,read.table,%>%,gather,mutate,gsub,round,as.numeric,data.frame,c,+,filter,%in%,ggplot,aes,geom_density,scale_fill_viridis,scale_color_viridis,geom_text,theme_ipsum,theme,ylab,xlab","geom_density,geom_text"
135-stacked-density-graph,unnamed-chunk-4-1,images/135-stacked-density-graph/unnamed-chunk-4-1.png,"# Using Small multiple
ggplot(data=diamonds, aes(x=price, group=cut, fill=cut)) +
    geom_density(adjust=1.5) +
    theme_ipsum() +
    facet_wrap(~cut) +
    theme(
      legend.position=""none"",
      panel.spacing = unit(0.1, ""lines""),
      axis.ticks.x=element_blank()
    )
","+,ggplot,aes,geom_density,theme_ipsum,facet_wrap,~,theme,unit,element_blank","geom_density,facet_wrap"
135-stacked-density-graph,unnamed-chunk-6-1,images/135-stacked-density-graph/unnamed-chunk-6-1.png,p,,
136-stacked-area-chart,thecode-1,images/136-stacked-area-chart/thecode-1.png,"# Packages
library(ggplot2)
library(dplyr)
 
# create data
time <- as.numeric(rep(seq(1,7),each=7))  # x Axis
value <- runif(49, 10, 100)               # y Axis
group <- rep(LETTERS[1:7],times=7)        # group, one shape per group
data <- data.frame(time, value, group)

# stacked area chart
ggplot(data, aes(x=time, y=value, fill=group)) + 
    geom_area()","library,<-,as.numeric,rep,seq,runif,[,:,data.frame,+,ggplot,aes,geom_area",geom_area
136-stacked-area-chart,thecode2-1,images/136-stacked-area-chart/thecode2-1.png,"# Give a specific order:
data$group <- factor(data$group , levels=c(""B"", ""A"", ""D"", ""E"", ""G"", ""F"", ""C"") )

# Plot again
ggplot(data, aes(x=time, y=value, fill=group)) + 
    geom_area()

# Note: you can also sort levels alphabetically:
myLevels <- levels(data$group)
data$group <- factor(data$group , levels=sort(myLevels) )

# Note: sort followinig values at time = 5
myLevels <- data %>%
  filter(time==6) %>%
  arrange(value)
data$group <- factor(data$group , levels=myLevels$group )","<-,$,factor,c,+,ggplot,aes,geom_area,levels,sort,%>%,filter,==,arrange",geom_area
136-stacked-area-chart,thecode3-1,images/136-stacked-area-chart/thecode3-1.png,"# Compute percentages with dplyr
library(dplyr)
data <- data  %>%
  group_by(time, group) %>%
  summarise(n = sum(value)) %>%
  mutate(percentage = n / sum(n))

# Plot
ggplot(data, aes(x=time, y=percentage, fill=group)) + 
    geom_area(alpha=0.6 , size=1, colour=""black"")

# Note: compute percentages without dplyr:
my_fun <- function(vec){ 
  as.numeric(vec[2]) / sum(data$value[data$time==vec[1]]) *100 
}
data$percentage <- apply(data , 1 , my_fun)
","library,<-,%>%,group_by,summarise,sum,mutate,/,+,ggplot,aes,geom_area,function,{,*,as.numeric,[,$,==,apply",geom_area
